service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
881614,0,0,0,0,0,0,1,20131129,20140529
880893,1,1,1,1,1,1,0,20131129,20140529
881744,0,0,0,0,0,0,1,20131129,20140529
882006,0,0,0,0,0,0,1,20131129,20140529
882002,1,1,1,1,1,1,0,20131129,20140529
880772,1,1,1,1,1,0,0,20131129,20140529
880774,0,0,0,0,0,1,1,20131129,20140529
881444,0,0,0,0,0,0,1,20131129,20140529
881445,0,0,0,0,0,0,1,20131129,20140529
881397,0,0,0,0,0,1,0,20131129,20140529
881408,1,1,1,1,1,0,0,20131129,20140529
881411,1,1,1,1,1,0,0,20131129,20140529
880851,1,1,1,1,1,0,0,20131129,20140529
880853,0,0,0,0,0,1,0,20131129,20140529
881502,0,0,0,0,0,0,1,20131129,20140529
881578,0,0,0,0,0,1,1,20131129,20140529
724594,1,1,1,1,1,0,0,20131129,20140529
881579,0,0,0,0,0,1,1,20131129,20140529
