stop_id,pub,puj,lrt,mrt,pnr,route_count
LTFRB_1,,J,,,,18
LTFRB_10,,J,,,,18
LTFRB_100,B,J,,,,73
LTFRB_1000,B,J,,,,127
LTFRB_1001,B,J,,,,129
LTFRB_1002,B,J,,,,125
LTFRB_1003,B,J,,,,128
LTFRB_1004,B,J,,,,131
LTFRB_1005,B,J,,,,135
LTFRB_1006,B,J,,,,114
LTFRB_1007,B,J,,,,130
LTFRB_1008,B,J,,,,136
LTFRB_1009,B,J,,,,124
LTFRB_101,B,J,,,,83
LTFRB_1010,B,J,,,,146
LTFRB_1011,B,J,,,,94
LTFRB_1012,B,J,,,,73
LTFRB_1013,B,J,,,,71
LTFRB_1014,B,J,,,,69
LTFRB_1015,B,J,,,,3
LTFRB_1016,,J,,,,2
LTFRB_1017,,J,,,,10
LTFRB_1018,,J,,,,10
LTFRB_1019,,J,,,,2
LTFRB_102,,J,,,,63
LTFRB_1020,,J,,,,2
LTFRB_1021,,J,,,,2
LTFRB_1022,,J,,,,2
LTFRB_1023,,J,,,,6
LTFRB_1024,,J,,,,8
LTFRB_1025,,J,,,,18
LTFRB_1026,,J,,,,12
LTFRB_1027,,J,,,,14
LTFRB_1028,,J,,,,8
LTFRB_1029,,J,,,,12
LTFRB_103,,J,,,,58
LTFRB_1030,,J,,,,12
LTFRB_1031,,J,,,,12
LTFRB_1032,,J,,,,12
LTFRB_1033,,J,,,,12
LTFRB_1034,,J,,,,12
LTFRB_1035,,J,,,,12
LTFRB_1036,,J,,,,12
LTFRB_1037,,J,,,,12
LTFRB_1038,,J,,,,12
LTFRB_1039,,J,,,,5
LTFRB_104,,J,,,,58
LTFRB_1040,,J,,,,2
LTFRB_1041,,J,,,,10
LTFRB_1042,B,J,,,,32
LTFRB_1043,B,J,,,,32
LTFRB_1044,B,J,,,,31
LTFRB_1045,B,J,,,,29
LTFRB_1046,B,J,,,,31
LTFRB_1047,B,J,,,,32
LTFRB_1048,B,J,,,,33
LTFRB_1049,B,J,,,,34
LTFRB_105,,J,,,,62
LTFRB_1050,B,J,,,,32
LTFRB_1051,B,J,,,,33
LTFRB_1052,B,J,,,,34
LTFRB_1053,B,J,,,,34
LTFRB_1054,B,J,,,,34
LTFRB_1055,B,J,,,,34
LTFRB_1056,B,J,,,,34
LTFRB_1057,,J,,,,27
LTFRB_1058,B,J,,,,23
LTFRB_1059,B,J,,,,23
LTFRB_1060,B,J,,,,14
LTFRB_1061,B,J,,,,13
LTFRB_1062,B,J,,,,19
LTFRB_1063,B,,,,,1
LTFRB_1064,B,J,,,,16
LTFRB_1065,B,J,,,,13
LTFRB_1066,B,J,,,,13
LTFRB_1067,B,J,,,,12
LTFRB_1068,,J,,,,9
LTFRB_1069,,J,,,,9
LTFRB_107,,J,,,,43
LTFRB_1070,,J,,,,10
LTFRB_1071,,J,,,,16
LTFRB_1072,,J,,,,23
LTFRB_1073,,J,,,,23
LTFRB_1074,,J,,,,22
LTFRB_1075,,J,,,,22
LTFRB_1076,,J,,,,11
LTFRB_1077,,J,,,,33
LTFRB_1078,,J,,,,11
LTFRB_1079,,J,,,,9
LTFRB_1080,,J,,,,9
LTFRB_1081,,J,,,,10
LTFRB_1082,,J,,,,10
LTFRB_1083,,J,,,,10
LTFRB_1084,,J,,,,10
LTFRB_1085,,J,,,,10
LTFRB_1086,,J,,,,8
LTFRB_1087,,J,,,,8
LTFRB_1088,,J,,,,8
LTFRB_1089,,J,,,,6
LTFRB_109,,J,,,,51
LTFRB_1090,,J,,,,6
LTFRB_1091,,J,,,,6
LTFRB_1092,,J,,,,8
LTFRB_1093,,J,,,,8
LTFRB_1094,,J,,,,8
LTFRB_1095,,J,,,,8
LTFRB_1096,,J,,,,12
LTFRB_1097,,J,,,,11
LTFRB_1098,,J,,,,12
LTFRB_1099,,J,,,,12
LTFRB_11,,J,,,,18
LTFRB_110,,J,,,,62
LTFRB_1100,,J,,,,12
LTFRB_1101,,J,,,,12
LTFRB_1102,,J,,,,6
LTFRB_1103,,J,,,,6
LTFRB_1104,,J,,,,6
LTFRB_1105,,J,,,,6
LTFRB_1106,,J,,,,6
LTFRB_1107,,J,,,,6
LTFRB_1108,,J,,,,4
LTFRB_1109,,J,,,,4
LTFRB_111,,J,,,,71
LTFRB_1110,,J,,,,4
LTFRB_1111,,J,,,,4
LTFRB_1112,,J,,,,4
LTFRB_1113,,J,,,,4
LTFRB_1114,,J,,,,6
LTFRB_1115,,J,,,,4
LTFRB_1116,B,J,,,,18
LTFRB_1117,B,J,,,,23
LTFRB_1118,B,J,,,,19
LTFRB_1119,B,J,,,,23
LTFRB_112,,J,,,,71
LTFRB_1120,B,J,,,,23
LTFRB_1121,B,J,,,,24
LTFRB_1122,B,J,,,,24
